,Descripcion,Amenidades,Detalles,Precio,Direccion
30,"Se vende  casa fracc. Los nogales , privado
Hermosa casa para habitar o bien  ideal  para spa,oficinas, consultorios, etc.
Cuenta con 5 desniveles

3 recámaras principal con closet vestidor y baño con jacuzzi","['Acceso a TV de paga', 'Aire acondicionado', 'Armarios empotrados', 'Calefacción', 'Gimnasio', 'Cocina Equipada', 'Estudio', 'Cuarto de servicio', 'Garaje', 'Estacionamiento techado', 'Patio', 'Jardín']","['Estacionamientos\n3', 'Recámaras\n4', 'Baños\n3', 'Construidos (m²)\n327', 'Terreno (m²)\n315', 'Disponible desde\n06/06/21']","$ 4,000,000","Los Nogales, Ciudad Juárez"
31,"ACENTO RESIDENCIAL
Camino Viejo a San José
al oriente de Av. Paseo de la Victoria
* MODELO CARTELA: 208mt2. EasyBroker ID: EB-CH7468",[],"['Recámaras\n3', 'Estacionamientos\n2', 'Baños\n2', 'Habitaciones (en total)\n5', 'Construido (Año)\n2021', 'Construidos (m²)\n208', 'Terreno (m²)\n171']","$ 2,968,000","Paseo del Bosque, Ciudad Juárez"
32,"Venta de casa area de san lorenzo, a una cuadra de la av vicente guerrero. A una cuadra de la vicente guerrero!
Precio $ 3,700,000
208m2 de terreno
268m2 de construcción
4 recamaras, 2 en planta baja. Recamara principal con baño completo, doble, lavabo en cubierta y tina. Closet vestidor con amplios espacios",[],"['Estacionamientos\n2', 'Recámaras\n4', 'Baños\n3', 'Construidos (m²)\n268', 'Terreno (m²)\n208', 'Disponible desde\n29/06/21']","$ 3,700,000",Ciudad Juárez
33,"Se vende casa frente a parque. !!
Hermosa residencia zona la sarzana  fracc. Cerrada sienna
3 recamaras, principal con chimenea, closet vestidor y baño
Dos estancias, una de ellas en planta baja con vista al jardín
Sala formal con chimenea","['Acceso a TV de paga', 'Aire acondicionado', 'Armarios empotrados', 'Calefacción', 'Chimenea', 'Piso de duela', 'Cocina Equipada', 'Estudio', 'Estacionamiento vigilado', 'Patio', 'Área de entretenimiento al aire libre', 'Jardín', 'Área de juegos infantiles']","['Estacionamientos\n2', 'Recámaras\n3', 'Baños\n2', 'Construidos (m²)\n228', 'Terreno (m²)\n180', 'Disponible desde\n21/06/21']","$ 3,150,000","Tres Torres, Ciudad Juárez"
34,"Se vende casa fraccionamiento los almendros, excelente ubicacion, frente a parque , fracc. Privado con bonitos acabados

Terreno 288 m2
Construccion 372m2","['Aire acondicionado', 'Armarios empotrados', 'Calefacción', 'Gimnasio', 'Jacuzzi', 'Cocina Equipada', 'Estudio', 'Estacionamiento vigilado', 'Garaje', 'Patio', 'Terraza', 'Totalmente cercado', 'Área de entretenimiento al aire libre', 'Jardín']","['Estacionamientos\n2', 'Recámaras\n4', 'Baños\n3', 'Construidos (m²)\n372', 'Terreno (m²)\n288', 'Disponible desde\n13/02/21']","$ 5,900,000","Los Almendros, Ciudad Juárez"
35,"Casa en venta: paseos del bosque
(enseguida de mausoleos luz eterna)

-terreno: 306 m²
-const: de 387.3 m²

precio de: $298,000 usd

-3 recámaras, la principal con baño completo y walking closet
- 2 baños completos y un 1/2 baño
-sala
-comedor
-estancia de tv
-cocina integral con granito y estufa nueva
-cuarto de lavandería
-cochera eléctrica cerrada para 2 autos
-amplio patio grande y kiosko con asador.
-equipada con 2 unidades paquete y cisterna con hidroneumático.

se acepta cualquier credito!","['Piso de loseta', 'Aire acondicionado', 'Armarios empotrados', 'Calefacción', 'Cocina Equipada', 'Cuarto de servicio', 'Balcón', 'Estacionamiento vigilado', 'Garaje', 'Estacionamiento techado', 'Patio', 'Terraza', 'Área de entretenimiento al aire libre', 'Jardín', 'Estacionamiento abierto', 'Estacionamiento para Visitas', 'Roof Garden']","['Estacionamientos\n2', 'Recámaras\n3', 'Baños\n2', 'Construidos (m²)\n387', 'Terreno (m²)\n306']","$ 5,960,000","Paseo del Bosque, Ciudad Juárez"
36,"Privado y lujoso fraccionamiento a 5 minutos de puente internacional zaragoza
2 minutos de plaza benza (pockets zaragoza entre otros locales)
2 minutos de smart jupiter
1 minuto de bancos
con esquina de universidad vizcaya
más de 5 plazas comerciales con restaurantes y servicios profesionales","['Piso de loseta', 'Aire acondicionado', 'Calefacción', 'Balcón', 'Estacionamiento vigilado', 'Estacionamiento techado', 'Patio', 'Totalmente cercado', 'Jardín']","['Estacionamientos\n2', 'Recámaras\n3', 'Baños\n3', 'Construidos (m²)\n95', 'Terreno (m²)\n120', 'Disponible desde\n29/03/21']","$ 1,750,000","Zaragoza, Ciudad Juárez"
37,"Exclusivo fraccionamiento de cd. Juaréz
Lujo y comodidad en toda la casa.
Superficie: 2100 mts
3 recamaras cada una con baño y walk in closet.
Recamara principal con Tina de hidromasaje, baño para el y para ella.
Tres baños afuera
Alberca
Bar
Gimnasio
Cochera para 12 carros
Oficina
Tiene subestación de luz
Bar o salón de fiestas independiente con barra.
2 Baños para damas y 2 para caballeros.
Área de gimnasio.
Área de alberca y terraza.
Baño en área de alberca.
Área de asador completamente equipado.
Pisos de mármol.
Candiles.
Cuenta con subestación. EasyBroker ID: EB-EL6639",[],"['Recámaras\n3', 'Estacionamientos\n12', 'Baños\n8', 'Habitaciones (en total)\n11', 'Construido (Año)\n2021', 'Construidos (m²)\n1600', 'Terreno (m²)\n2100']","US$ 1,787,000","Campos Elíseos, Ciudad Juárez"
38,"Fracc. Residencial Belisa - Etapa 1
Acceso por C. Júpiter, C. Antioquía, Camino Viejo a Zaragoza
Superficie (Mínima) de terreno: 152 m2
Superficie de Construcción: 160.628 m2
- Ubicación privilegiada.
- Acceso controlado por caseta",[],"['Recámaras\n3', 'Estacionamientos\n2', 'Baños\n2', 'Habitaciones (en total)\n5', 'Construido (Año)\n2021', 'Construidos (m²)\n160', 'Terreno (m²)\n152']","$ 1,774,752","Fidel Avila, Ciudad Juárez"
39,"Hermosa residencia en Mision de los Lagos.
(tiene una opción de compra para el terreno adjunto para jardín muy amplio y alberca)
Terreno 1333 m2 (opcional a aumentar terreno)
Son 601.48 mt2 de construcción en 2 pisos en $14,000,000 de pesos.
Planta BAJA:
* 2 recámaras con baño propio y vestidor
* 1 estudio
* sala
* comedor
* cocina integral con granito, y horno de barro (para pizza, pan, etc)
* 1/2 baño",[],"['Recámaras\n4', 'Estacionamientos\n2', 'Baños\n4', 'Habitaciones (en total)\n8', 'Construido (Año)\n2021', 'Construidos (m²)\n601', 'Terreno (m²)\n1333']","$ 14,000,000","Misiones de los Lagos, Ciudad Juárez"
